epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,14924.4,0.36416,0.52954,0.96306,0.93187,0.92563,0.956,0.90732,0.32118,0.32994,0.92308,0.002377,0.002377,0.002377
156,15022,0.36151,0.52807,0.96246,0.93217,0.9255,0.95597,0.90729,0.32115,0.33024,0.92304,0.0023275,0.0023275,0.0023275
157,15116.9,0.35987,0.51818,0.95929,0.93252,0.9256,0.95601,0.90754,0.3211,0.33051,0.92302,0.002278,0.002278,0.002278
158,15212.2,0.35931,0.51949,0.95965,0.93263,0.92548,0.956,0.90767,0.32106,0.33034,0.92298,0.0022285,0.0022285,0.0022285
159,15309.3,0.36064,0.51139,0.96093,0.93247,0.92549,0.95607,0.90768,0.32109,0.33015,0.92298,0.002179,0.002179,0.002179
160,15404.3,0.36154,0.51265,0.96117,0.93418,0.92451,0.95613,0.90772,0.32105,0.33014,0.92292,0.0021295,0.0021295,0.0021295
161,15499.2,0.35984,0.50612,0.96375,0.93441,0.92518,0.9561,0.90749,0.32105,0.33016,0.9229,0.00208,0.00208,0.00208
162,15596.8,0.35721,0.50143,0.96073,0.9345,0.92507,0.95611,0.90755,0.32101,0.33031,0.92284,0.0020305,0.0020305,0.0020305
163,15692,0.35895,0.50412,0.96354,0.93336,0.92582,0.95601,0.90764,0.32095,0.33042,0.92276,0.001981,0.001981,0.001981
164,15786.5,0.3555,0.50247,0.96083,0.93303,0.9258,0.95598,0.90755,0.32093,0.33036,0.92271,0.0019315,0.0019315,0.0019315
165,15883.1,0.35635,0.48914,0.9591,0.93244,0.92634,0.956,0.90779,0.32086,0.33014,0.9226,0.001882,0.001882,0.001882
166,15978,0.35468,0.49618,0.95972,0.93198,0.92683,0.95608,0.90776,0.3208,0.33021,0.92256,0.0018325,0.0018325,0.0018325
167,16072.9,0.357,0.49602,0.96268,0.93421,0.92525,0.956,0.90784,0.32076,0.33026,0.92253,0.001783,0.001783,0.001783
168,16169.4,0.35283,0.49374,0.95829,0.93405,0.92484,0.95589,0.90769,0.32068,0.33028,0.92245,0.0017335,0.0017335,0.0017335
